0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_11_17_081748_750_8906.scd,1210.01,629.14,655.93,440951.82,776.14,855.58,538989.9,2669.62,561.1,874.87,393815.62,2323.21,563.68,670.96,796.68,846.16,909.07,0.81,0.93,482757.28,560865.59,2564.81,2717.99,2
2022_08_11_104930_650_3741.pcd,790.01,595.78,607.41,423388.84,705.89,849.8,478927.93,2488.44,559.03,845.3,367209.65,2298.19,593.12,619.16,720.71,834.01,883.62,0.78,0.84,446634.99,501360.98,2420.02,2533.38,2
2022_11_17_171014_748_3891.scd,850.01,638.49,644.21,440001.18,806.58,912.19,583405,2739,623.97,875.64,430541.34,2414.23,649.63,687.96,824.27,876.24,926.86,0.84,0.9,531308.58,604079.86,2631.15,2787.74,2
2022_11_17_173603_722_1534.scd,750.01,640.41,630.07,453763,773.17,919.01,564705.64,2707.08,668.59,907.63,473062.54,2527.56,671.82,684.52,794.9,918.95,1008.61,0.77,0.86,529358.96,589808.1,2680.63,2957.89,2
2022_11_17_074936_693_9085.scd,960.01,591.71,585.87,396102.3,698.3,872.55,480267.37,2534.33,620.62,942.1,450030.89,2559.74,629.52,625.61,716.24,849.49,941.01,0.76,0.82,441892.18,498810.87,2467.57,2605,2
2022_11_17_080601_743_9063.scd,1180.01,608.55,641.49,440624.79,784.93,892.56,564052.02,2693.46,591.04,962.04,478655.89,2144.2,618.31,727.43,814.81,886.12,1001.92,0.84,0.9,543238.42,627827.33,2680.34,3028.04,2
2022_11_17_172002_851.7_7457.scd,950.01,675.95,709.97,487851.18,885.67,925.76,645290.51,2870.5,703.16,909.82,510935.49,2612.96,726.32,762.04,904.07,896.67,950.83,0.89,0.96,582906.7,671242.13,2735.39,2941.82,3
2022_11_17_074308_750_3891.scd,1140.01,638.58,663.2,453394.38,783.99,938.13,588297.46,2747.24,608.51,958.13,418382.01,2256.84,620,706.88,796.02,947.48,1070.22,0.78,0.83,559090.77,610498.01,2749.07,2982.7,2
2022_11_17_173847_722.6_1534.scd,1140.01,479.77,475.54,360913.2,779.99,924.15,582996.89,2725.94,661.92,937.72,494322.21,2586.58,660.74,676.59,792.76,901.55,952.5,0.76,0.85,519983.71,605583.7,2602.02,2767.86,2
2022_11_17_170629_695_9085.scd,890.01,621.06,643.7,453494.51,731.15,929.44,523943.62,2620.9,611.96,942.66,427354.25,2490.56,596.36,644.62,747.2,898.38,955.82,0.75,0.82,477089.17,544965.76,2516.86,2701.04,2
2022_11_17_074805_691_9085.scd,730.01,647.99,647.67,433724.61,724.82,880.36,496708.89,2583.28,665.5,891.05,462466.13,2554.47,663.91,661.68,742.13,857.25,897.25,0.81,0.84,475169.17,515229.93,2533.19,2640.21,2
2022_08_11_104453_670_8906.pcd,930.01,594.59,621.03,423883.47,743.34,806.45,480223.63,2467.71,605.37,829.59,396364,2300,607.79,647.2,754.75,819.91,981.67,0.81,0.94,443241.13,499708.26,2414.61,2665.86,2
2022_11_17_074133_750_5491.scd,930.01,599.98,616.36,408523.32,791.01,939.09,582985.61,2741.63,658.31,916.12,487878.26,2593.79,670.13,678.13,804.01,919.7,1048.53,0.76,0.86,521786.26,605561.36,2631.57,2885.93,2
2022_11_17_172531_781_1523.scd,610.01,685.61,747.82,494531.02,871.53,892.69,610913.8,2722.6,716.74,921.58,512678.97,2587.9,691.75,742.9,887.61,887.84,930,0.93,0.99,588677.14,646090.9,2673.44,2858.05,3
